"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"01.07.2024","4,720","4,680","4,720","4,680","0,85%"
"01.06.2024","4,680","4,950","5,030","4,480","-5,45%"
"01.05.2024","4,950","5,690","5,690","4,850","-13,01%"
"01.04.2024","5,690","5,820","5,840","5,520","-1,39%"
"01.03.2024","5,770","5,390","5,770","5,370","6,85%"
"01.02.2024","5,400","5,450","5,580","5,240","-4,09%"
"01.01.2024","5,630","6,190","6,270","5,630","-9,34%"
"01.12.2023","6,210","6,300","6,300","5,650","-1,43%"
"01.11.2023","6,300","7,210","7,210","6,300","-12,50%"
"01.10.2023","7,200","8,670","9,130","7,000","-15,09%"
"01.09.2023","8,480","7,550","8,780","7,550","10,56%"
"01.08.2023","7,670","8,670","8,770","7,670","-13,63%"
"01.07.2023","8,880","8,680","9,000","8,260","3,14%"
"01.06.2023","8,610","9,750","9,800","8,570","-12,77%"
"01.05.2023","9,870","9,420","10,130","9,420","7,40%"
"01.04.2023","9,190","7,860","9,460","7,860","17,97%"
"01.03.2023","7,790","8,870","9,240","7,690","-11,68%"
"01.02.2023","8,820","8,890","9,900","8,820","1,73%"
"01.01.2023","8,670","9,310","9,340","8,470","-2,36%"
"01.12.2022","8,880","8,340","9,030","7,550","5,09%"
"01.11.2022","8,450","10,710","10,710","8,450","-20,66%"
"01.10.2022","10,650","10,920","11,290","10,650","-3,01%"
"01.09.2022","10,980","10,540","11,070","10,430","6,19%"
"01.08.2022","10,340","10,220","10,680","10,180","-0,96%"
"01.07.2022","10,440","8,790","10,440","8,600","11,90%"
"01.06.2022","9,330","8,560","9,480","8,510","7,99%"
"01.05.2022","8,640","8,060","8,640","7,940","6,27%"
"01.04.2022","8,130","6,900","8,150","6,880","17,83%"
"01.03.2022","6,900","7,400","8,040","6,900","-7,13%"
"01.02.2022","7,430","5,970","7,610","5,970","21,80%"
"01.01.2022","6,100","4,140","6,400","3,880","51,74%"
"01.12.2021","4,020","3,730","4,020","2,930","7,20%"
"01.11.2021","3,750","3,660","3,920","3,580","2,46%"
"01.10.2021","3,660","2,790","3,790","2,790","32,61%"
"01.09.2021","2,760","1,790","2,760","1,790","61,40%"
"01.08.2021","1,710","1,180","1,710","1,180","46,15%"
"01.07.2021","1,170","1,070","1,200","1,070","12,50%"
"01.06.2021","1,040","0,440","1,040","0,440","85,71%"
"01.05.2021","0,560","0,550","0,980","0,530","1,82%"
"01.04.2021","0,550","0,250","0,720","0,250","96,43%"
"01.03.2021","0,280","0,340","0,430","0,160","3,70%"
"01.02.2021","0,270","0,240","0,350","0,190","12,50%"
"01.01.2021","0,240","0,290","0,310","0,200","-20,00%"
"01.12.2020","0,300","0,240","0,390","0,210","7,14%"
"01.11.2020","0,280","0,190","0,510","0,090","47,37%"
"01.10.2020","0,190","0,200","0,400","0,190","-44,12%"
"01.09.2020","0,340","0,310","0,460","0,150","-5,56%"
"01.08.2020","0,360","0,260","0,540","0,100","28,57%"
